pressure_bar,shot,peak_force_kg,duration_ms
60,1,,
60,2,,
60,3,,
60,4,,
60,5,,
80,1,,
80,2,,
80,3,,
80,4,,
80,5,,
100,1,,
100,2,,
100,3,,
100,4,,
100,5,,
